Dato;Runde;Liga;Hjemmelag;Resultat;Bortelag;Kanal
06.04.2015;1. runde;Tippeligaen;Mjøndalen;1 - 0;Viking;C More Fotball
06.04.2015;1. runde;Tippeligaen;Rosenborg;5 - 0;Aalesund;C More Fotball
06.04.2015;1. runde;Tippeligaen;Stabæk;1 - 1;Haugesund;C More Live
06.04.2015;1. runde;Tippeligaen;Tromsø;0 - 1;Sarpsborg 08;C More Live 2
06.04.2015;1. runde;Tippeligaen;Sandefjord;3 - 1;Bodø/Glimt;C More Live 3
06.04.2015;1. runde;Tippeligaen;Vålerenga;3 - 1;Strømsgodset;TV 2
06.04.2015;1. runde;OBOS-ligaen;Fredrikstad;1 - 1;Brann;TV 2 Zebra
06.04.2015;1. runde;OBOS-ligaen;Follo;4 - 0;Hønefoss;C More Live
06.04.2015;1. runde;OBOS-ligaen;Strømmen;0 - 1;Hødd;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Bryne;2 - 1;Nest-Sotra;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Kristiansund BK;0 - 0;Ranheim;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Sandnes Ulf;2 - 2;Jerv;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Sogndal;3 - 1;Bærum;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Åsane;5 - 0;Levanger;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Fredrikstad;1 - 1;Brann;TV 2 Zebra
06.04.2015;1. runde;OBOS-ligaen;Follo;4 - 0;Hønefoss;C More Live
06.04.2015;1. runde;OBOS-ligaen;Strømmen;0 - 1;Hødd;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Bryne;2 - 1;Nest-Sotra;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Kristiansund BK;0 - 0;Ranheim;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Sandnes Ulf;2 - 2;Jerv;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Sogndal;3 - 1;Bærum;C SPORTS
06.04.2015;1. runde;OBOS-ligaen;Åsane;5 - 0;Levanger;C SPORTS
07.04.2015;1. runde;Tippeligaen;Molde;1 - 2;Odd;TV 2 Zebra
07.04.2015;1. runde;Tippeligaen;Lillestrøm;1 - 1;Start;C More Fotball
10.04.2015;2. runde;Tippeligaen;Sarpsborg 08;1 - 1;Vålerenga;TV 2 Zebra
11.04.2015;2. runde;Tippeligaen;Bodø/Glimt;1 - 3;Molde;C More Fotball
11.04.2015;2. runde;Tippeligaen;Strømsgodset;1 - 1;Mjøndalen;C More Fotball
12.04.2015;2. runde;Tippeligaen;Aalesund;1 - 1;Lillestrøm;C More Fotball
12.04.2015;2. runde;Tippeligaen;Haugesund;0 - 6;Rosenborg;TV 2
12.04.2015;2. runde;Tippeligaen;Odd;2 - 0;Stabæk;C More Fotball
12.04.2015;2. runde;Tippeligaen;Viking;3 - 1;Tromsø;C More Live 2
12.04.2015;2. runde;Tippeligaen;Start;2 - 1;Sandefjord;C More Live 3
12.04.2015;2. runde;OBOS-ligaen;Bærum;1 - 1;Follo;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Hønefoss;1 - 2;Bryne;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Jerv;0 - 0;Sogndal;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Levanger;0 - 2;Kristiansund BK;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Nest-Sotra;2 - 3;Åsane;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Ranheim;1 - 1;Sandnes Ulf;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Bærum;1 - 1;Follo;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Hønefoss;1 - 2;Bryne;C SPORTS
12.04.2015;2. runde;OBOS-ligaen;Jerv;0 - 0;Sogndal;C SPORTS
