Rank;Article Name;Shares;Date;URL
1; Nå er det bevist: Den yngste i søskenflokken er den morsomste Jan 28;87,217;28.01.2015;http://www.tv2.no/2015/01/28/nyheter/viral/6502420
2; Kreftsvulster forsvinner: – Det største gjennombruddet på 40 år Jun 3;79,576;03.06.2015;http://www.tv2.no/2015/06/03/nyheter/helse/kreft/6995146
3; Åpent brev til mulla Krekar Jan 28;68,673;28.01.2015;http://fritanke.no/index.php?page=vis_nyhet&NyhetID=9690
4; Gutten skal synge en sang fra 50-tallet. Men etter kun 9 sekunder er dommerne i ekstase Mar 29;65,569;29.03.2015;http://viraltube.no/gutten-skal-synge-en-sang-fra-50-tallet-men-etter-kun-9-sekunder-er-dommerne-i-ekstase/
5; Ny lov: 500 kroner i bot for å røyke med barn i bilen Feb 13;65,364;13.02.2015;http://www.nettavisen.no/nyheter/utenriks/ny-lov-500-kroner-i-bot-for-a-ryke-med-barn-i-bilen/8542411.html
6; Takler du ikke andres spiselyder? Da kan du være et geni Mar 17;62,896;17.03.2015;http://www.tv2.no/2015/03/17/nyheter/forskning/6692788
7; Politimannen glemte å slå av kameraet, og det er HYSTERISK morsomt! Jan 18;61,612;18.01.2015;http://utroligenyheter.no/politimannen-glemte-sla-av-kameraet-og-det-er-hysterisk-morsomt/
8; Kommentar: Spørsmål til den muslimske terroristen Jan 8;60,131;08.01.2015;http://www.vg.no/nyheter/meninger/terrorangrepet-mot-charlie-hebdo/kommentar-spoersmaal-til-den-muslimske-terroristen/a/23370028/
9; Mannens klokkeklare hyllest til kvinner over 40 sprer seg som ild i tørt gress Jun 29;57,961;29.06.2015;http://www.evanova.co/frank-kaisers-hyllest-til-modne-kvinner/
10; Han stikker nelliker i en oppskåren lime. Dette trikset kommer til å redde hele... May 24;56,743;24.05.2015;http://www.viralevideoer.com/2015/05/24/stikker-nelliker-oppskaren-lime-trikset-kommer-a-redde-hele-sommeren/
11; Det er vanskelig å holde maska når disse gutta smaker på øl med helium! Jul 21;55,683;21.06.2015;http://www.smud.no/underholdning/det-er-vanskelig-a-holde-maska-nar-disse-gutta-smaker-pa-ol-med-helium/
12; Ny forskning: Rødvin kan være slankende Feb 9;54,424;09.02.2015;http://www.tv2.no/2015/02/09/nyheter/forskning/rodvin/6546381
13; Jeg er forelsket i det vanlige mennesket. Derfor er jeg imot prestasjonskulturen. | Per... Sep 23;54,004;23.09.2015;http://www.aftenposten.no/meninger/kronikker/Jeg-er-forelsket-i-det-vanlige-mennesket-Derfor-er-jeg-imot-prestasjonskulturen--Per-Fugelli-8176343.html
14; Denne dama sendte klagemail på mannen sin - svaret hun fikk er helt episk! Feb 25;52,782;25.02.2015;http://www.side2.no/underholdning/denne-dama-sendte-klagemail-pa-mannen-sin---svaret-hun-fikk-er-helt-episk/8547187.html
15; Jeg spiller ikke syk, jeg spiller normal! Jan 17;51,741;17.01.2015;http://www.dagbladet.no/2015/01/17/kultur/meninger/kronikk/debatt/sykdom/37223637/
16; Her er Norges første dyrepoliti Aug 21;51,521;21.08.2015;http://www.vg.no/nyheter/innenriks/dyrevern/her-er-norges-foerste-dyrepoliti/a/23509557/
17; Sølje Bergman er farligere for barn enn vaksiner Mar 22;49,683;22.03.2015;http://www.bt.no/meninger/kronikk/Solje-Bergman-er-farligere-for-barn-enn-vaksiner-3325135.html
18; - Snart er jeg borte for alltid. Men det er ok, så lenge noen leser dette! Mar 1;49,555;01.03.2015;http://www.evanova.co/nyt-tiden-med-lidenskap/
